Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;303994;;;Solar Netto;50,00;;;;
V;303995;;;Solar Plus;75,00;;;;
V;304120;;;Inst.Ledning FQ Easy Nexans;65,74;;;;
V;304122;;;Inst.Ledning FQ Easy tvinnad Nexans;60,26;;;;
V;304124;;;Inst.Ledning EXQ Easy Nexans;66,12;;;;
V;304126;;;Inst.Ledning EQLQ Easy Nexans;66,84;;;;
V;304128;;;Inst.Ledning FQLQ Nexans;64,83;;;;
V;304130;;;Inst.Ledning EQRQ Nexans;67,89;;;;
V;304132;;;Inst. Ledning FQQ Nexans;59,50;;;;
V;304134;;;Inst. Ledning MQQ Nexans;49,55;;;;
V;304136;;;Alsecure EQLQ Nexans;48,22;;;;
V;304222;;;Inst.Ledning EXQ Xtra NKT;70,16;;;;
V;304224;;;Inst.Ledning EXLQ Xtra NKT;71,41;;;;
V;304226;;;Inst.Ledning FXLQ Xtra NKT;62,00;;;;
V;304228;;;Inst.Ledning FQ Xtra NKT;53,66;;;;
V;304401;;;QnE FQ/RQ QnE PM Flex PM6B1;59,50;;;;
V;304402;;;QnE FQ QnE PM Flex PM6B2;59,00;;;;
V;304403;;;QnE Diverse QnE PM Flex PM6C1;59,00;;;;
V;304404;;;QnE Diverse QnE EXQ-Light PM Flex PM6C2;59,00;;;;
V;304500;;;Funktionssäker kabel Rutab;80,32;;;;
V;304990;;;Solar Plus Inst ledning EXQ;75,00;;;;
V;304991;;;Solar Plus Inst ledning EXLQ;75,00;;;;
V;304992;;;Solar Plus EXQ TT;80,00;;;;
V;304994;;;Solar Netto;50,00;;;;
V;304995;;;Solar Plus;75,00;;;;
V;305102;;;Anslutningsledning PVC Nexans;81,56;;;;
V;305104;;;Gummikabel Klen Titanex Nexans;80,32;;;;
V;305106;;;Gummikabel Tung Titanex Nexans;74,30;;;;
V;305110;;;Svetskabel Nexans;79,02;;;;
V;305112;;;Solcellskabel Nexans;41,12;;;;
V;305200;;;Anlutningsledning Hf NKT;75,11;;;;
V;305204;;;Solcellskabel NKT;54,50;;;;
V;305300;;;QnE Diverse QnE H1Z2Z2-K PM Flex PM6C2;76,20;;;;
V;305402;;;Kran - Flatkabel;81,39;;;;
V;305406;;;Anslutningsledning Värmebeständig;80,04;;;;
V;305408;;;Svetskabel;53,74;;;;
V;305410;;;Krankabel rund Faber;50,40;;;;
V;305411;;;Krankabel flat Faber;50,40;;;;
V;305500;;;Gummikabel Solar;77,90;;;;
V;305502;;;Solpanel kabel;78,84;;;;
V;305504;;;Gummikabel Hav/Sjö 1,5-25;49,29;;;;
V;305508;;;Motorkabel Solar Cable;48,98;;;;
V;305510;;;Gummikabel 90ggr Solar;45,92;;;;
V;305600;;;Anslutningskabel Rutab;71,30;;;;
V;305602;;;Kran - Flatkabel Rutab;81,40;;;;
V;305604;;;Anslutningskabel, Motor Rutab;78,59;;;;
V;305606;;;Anslutningskabel TPPU Rutab;68,69;;;;
