Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;320425;;;Säkringsmateriel TBH;63,40;;;;
V;320500;;;Säkerhetsproppar mm Hammarprodukter;62,68;;;;
V;320990;;;Solar Plus Diazedsäkringar;50,00;;;;
V;320991;;;Solar Plus Anslagsramar;50,00;;;;
V;320992;;;Solar Plus Sortiment Finsäkringar;50,00;;;;
V;320994;;;Solar Netto;50,00;;;;
V;320995;;;Solar Plus Knivsäkringar;50,00;;;;
V;321100;;;Dvärgbrytare 6 kA Hager I;79,91;;;;
V;321102;;;Dvärgbrytare 6 kA Hager II;78,09;;;;
V;321104;;;Dvärgbrytare 6kA QC Hager II;78,00;;;;
V;321106;;;Dvärgbrytare 6kA QC Hager X;80,50;;;;
V;321108;;;Dvärgbrytare övriga Hager;77,40;;;;
V;321110;;;Dvärgbrytare 10kA Hager;76,00;;;;
V;321120;;;Fasskenor Hager;81,03;;;;
V;321122;;;Huvudbrytare Hager;80,05;;;;
V;321124;;;Jordfelsbrytare Hager X;80,70;;;;
V;321126;;;Jordfelsbrytare Hager II;80,72;;;;
V;321127;;;Personskyddsaut. Hager X;79,43;;;;
V;321128;;;Personskyddsaut. Hager;77,95;;;;
V;321130;;;Tbh norm Hager;77,40;;;;
V;321200;;;Dvärgbrytare iC60H B SB =S=O;61,49;;;;
V;321202;;;Dvärgbrytare iC60H C SB =S=O;75,82;;;;
V;321204;;;Dvärgbrytare iC60H D SB =S=O;55,66;;;;
V;321206;;;Dvärgbrytare iC60N B SB =S=O;67,33;;;;
V;321208;;;Dvärgbrytare iC60N C SB =S=O;75,24;;;;
V;321210;;;Dvärgbrytare iC60N D SB =S=O;60,00;;;;
V;321211;;;DVÄRGBRYTARE RESI9 =S=O;66,34;;;;
V;321212;;;Dvärgbrytare C60H D SF =S=O;58,34;;;;
V;321213;;;Dvärgbrytare C60H D RA =S=O;67,17;;;;
V;321220;;;Jordfelsbrytare A9 I SA =S=O;76,00;;;;
V;321222;;;Jordfelsbrytare A9 II SA =S=O;76,00;;;;
V;321224;;;Jordfelsbrytare ID SA =S=O;60,67;;;;
V;321228;;;Personskyddsbr. A9 iVigi/iDPN SA =S=O;68,07;;;;
V;321231;;;Compact RCBO B-kurva SB =S=O;80,21;;;;
V;321234;;;Ljusbågsvakt AFDD SA =S=O;43,04;;;;
V;321236;;;Resi9 & Wiser SU =S=O;56,80;;;;
V;321240;;;Tbh C60 SP =S=O;80,55;;;;
V;321241;;;Tbh C60 SA =S=O;81,33;;;;
V;321242;;;Fasskena A9 SC =S=O;62,09;;;;
V;321244;;;Fasskena C60 SQ =S=O;80,00;;;;
V;321246;;;Huvudbrytare Norm VARIO BL =S=O;67,09;;;;
V;321248;;;Normomkopplare A9 RJ =S=O;50,45;;;;
V;321260;;;A9 C120N+VigiC120 RA =S=O;52,46;;;;
V;321262;;;A9 iC60L/iC60HDC/Reflex/DPN N RD =S=O;40,15;;;;
V;321276;;;Kommunikation Smartlink UF =S=O;53,16;;;;
V;321277;;;Kommunikation Smartlink BK =S=O;53,16;;;;
V;321278;;;NG125/VigiNG125 SB =S=O;76,80;;;;
V;321279;;;NG125/VigiNG125 SA =S=O;73,78;;;;
V;321280;;;Tbh elektriska A9 RN =S=O;68,68;;;;
V;321282;;;Tbh mekaniska A9 SB =S=O;30,13;;;;
V;321290;;;Tbh normkapsling I SR =S=O;77,09;;;;
V;321292;;;Normkapsling Mini-Opale RC =S=O;84,90;;;;
V;321294;;;MCB Multi9 UL SF =S=;35,48;;;;
V;321296;;;MCB Multi9 IEC SG =S=O;54,90;;;;
V;321300;;;Dvärgbrytare S200 71-70 ABB;78,66;;;;
V;321302;;;Dvärgbrytare S200 71-42 ABB;77,80;;;;
V;321304;;;Dvärgbrytare S200 71-73 ABB;78,88;;;;
V;321306;;;Dvärgbrytare S200 71-55 ABB;80,46;;;;
V;321307;;;Dvärgbrytare S200 71-57 ABB;74,78;;;;
V;321308;;;Dvärgbrytare S200 71-77 ABB;79,06;;;;
V;321309;;;Dvärgbrytare S200 71-64 ABB;77,72;;;;
V;321313;;;Dvärgbrytare S200 71-75 ABB;78,88;;;;
V;321314;;;Fasskena PS ABB;78,93;;;;
V;321315;;;Fasskena 71-net ABB;78,82;;;;
V;321320;;;Jordfelsbrytare F200 ABB;79,99;;;;
V;321321;;;Jordfelsbrytare F200 II ABB;81,06;;;;
V;321326;;;Personskyddsbrytare ABB;79,67;;;;
V;321327;;;Personskyddsbrytare 72-58  ABB;79,55;;;;
V;321328;;;Personskyddsbrytare 72-64 ABB;79,14;;;;
V;321329;;;Personskyddsbrytare 72-75 ABB;76,91;;;;
V;321330;;;Personskyddsbrytare Netto ABB;62,12;;;;
V;321338;;;Normmateriel Fästmateriel ABB;72,31;;;;
V;321340;;;Tbh Dvärgbrytare S200 71-42 ABB;79,11;;;;
V;321342;;;Tbh Normapparater ABB;70,30;;;;
V;321350;;;Kopplingsur ABB;86,00;;;;
V;321352;;;Kortsl.begränsare S800 ABB;68,35;;;;
V;321354;;;Lastbrytare I ABB;78,93;;;;
V;321400;;;Dvärgbrytare 5SL6 001 Sie I;81,91;;;;
V;321401;;;Dvärgbrytare 5SL4 I 001 SIE;91,90;;;;
V;321402;;;Dvärgbrytare 5SL6 001 Sie II;83,91;;;;
V;321403;;;Dvärgbrytare 5SL4 II 001 SIE;89,48;;;;
V;321404;;;Dvärgbrytare 5SP4 002 SIE;88,18;;;;
V;321406;;;Dvärgbrytare 5SY4 002 Sie I;79,21;;;;
V;321408;;;Dvärgbrytare 5SY4 002 Sie II;83,06;;;;
V;321410;;;Dvärgbrytare 5SY5 002 SIE;87,48;;;;
V;321412;;;Dvärgbrytare 5SY6 001 Sie I;85,56;;;;
V;321414;;;Dvärgbrytare 5SY6 001 Sie II;88,80;;;;
V;321416;;;Dvärgbrytare 5SY7 003 SIE;86,80;;;;
V;321418;;;Dvärgbrytare 5SY8 003 SIE;89,00;;;;
V;321420;;;Dvärgbrytare special 019 SIE;78,35;;;;
V;321422;;;Dvärgbrytare 5SJ6 001 SIE;78,48;;;;
V;321424;;;Dvärgbrytare UL489 005 SIE;81,76;;;;
V;321428;;;Jordfelsbrytare 5SM2 011 SIE;82,68;;;;
V;321430;;;Jordfelsbrytare 5SM3 011 Sie I;82,27;;;;
V;321432;;;Jordfelsbrytare 5SM3 011 Sie II;84,46;;;;
V;321436;;;Personskyddsaut 5SU1 008 Sie I;79,10;;;;
V;321438;;;Personskyddsaut 5SU1 008 Sie II;87,85;;;;
V;321440;;;Ljusbågsvakter 007 SIE;74,68;;;;
V;321441;;;AFD+Dvärgbrytare 1BA SIE;34,16;;;;
V;321460;;;Tbh dvärgbrytare 020 Sie I;82,79;;;;
V;321462;;;Tbh dvärgbrytare 020 Sie II;87,56;;;;
V;321470;;;Normcentraler Simbox  Tbh 032 SIE;74,57;;;;
V;321480;;;N-komp övervakningsapp anl 026 SIE;86,19;;;;
V;321484;;;N-komp Strömst 5TE 029 Sie I;83,43;;;;
V;321486;;;N-komp Strömst 5TE 029 Sie II;81,13;;;;
V;321500;;;Dvärgbrytare 1489-M UL489 B501G A-B;64,43;;;;
V;321502;;;Dvärgbrytare 1492-SPM B503G A-B;65,86;;;;
V;321504;;;Dvärgbrytare 188-J X286A A-B;54,22;;;;
V;321506;;;Tbh dvärgbrytare 189-/189 B502G A-B;64,16;;;;
V;321510;;;Jordfelsbrytare 1492-RCD B503G A-B;62,96;;;;
V;321512;;;Normapparater 1492-CB,1492-GH AB;57,81;;;;
V;321600;;;Normapparater Eldon I;68,00;;;;
V;321602;;;Normapparater Eldon II;66,00;;;;
V;321606;;;Normapparater Eldon IIII;57,32;;;;
V;321608;;;Normapparater Eldon;60,41;;;;
V;321704;;;Personskyddsbrytare II Garo;74,00;;;;
V;321708;;;Kopplingsur Garo;68,00;;;;
V;321712;;;Normkomponenter Garo;68,00;;;;
V;321715;;;Dvärgbrytare 6kA I  Garo;68,50;;;;
V;321716;;;Dvärgbrytare 6kA II Garo;68,20;;;;
V;321717;;;Dvärgbrytare 10kA I Garo;67,00;;;;
V;321718;;;Dvärgbrytare 10kA II Garo;64,99;;;;
V;321719;;;Fasskenor Garo;71,00;;;;
V;321720;;;Jordfelsbrytare I Garo;73,00;;;;
V;321721;;;Jordfelsbrytare II Garo;75,50;;;;
V;321722;;;Personskyddsbrytare I Garo;73,00;;;;
V;321723;;;Huvudbrytare Garo;71,00;;;;
V;321800;;;Huvudbrytare Norm K&N;82,83;;;;
V;321810;;;Sektionsbrytare Norm K&N;72,14;;;;
V;321820;;;Jfb ReStart Gewiss Malthe Winje;51,10;;;;
V;321900;;;Lastfrånskiljare norm COMPACT Ensto;72,50;;;;
V;321910;;;DIN Uttag Phönix;36,90;;;;
V;321930;;;Normprodukter AEG;59,80;;;;
V;321940;;;Normkapslingar Hensel;66,32;;;;
V;321970;;;Dvärgbrytare Eaton 2500;28,09;;;;
V;321992;;;Plus;50,00;;;;
V;321994;;;Solar Netto;50,00;;;;
V;321995;;;Solar Plus;50,00;;;;
V;322100;;;Kapsling Gamma Hager I;77,00;;;;
V;322101;;;Kapsling Gamma Hager X;78,15;;;;
V;322102;;;Kapsling Gamma Hager II;75,57;;;;
V;322103;;;Kapsling Gamma Hager III;75,10;;;;
V;322110;;;Kapsling Vector Hager;77,32;;;;
V;322112;;;Kapsling Volta Hager;75,13;;;;
V;322114;;;Kapslingar övriga Hager;73,40;;;;
V;322120;;;Media och Kombicentraler Hager;73,00;;;;
V;322122;;;Mätarblock, -tavlor & -skåp Hager;77,00;;;;
V;322124;;;Normskåp Hager;74,50;;;;
V;322126;;;Kapsling FW Hager;75,70;;;;
V;322128;;;Väggskåp univers Hager;71,00;;;;
V;322130;;;Skåp univers Hager;75,00;;;;
V;322140;;;Tbh normkapslingar Hager;72,20;;;;
V;322142;;;Data/Tele/TV Hager;72,41;;;;
V;322190;;;Kopplingsplint Wago;45,61;;;;
V;322200;;;Centraler AD Eldon;70,77;;;;
V;322202;;;Norm tbh AD Eldon;70,29;;;;
V;322204;;;Centraler AM Eldon;61,98;;;;
V;322206;;;Normkapsling DB AQ Eldon;63,00;;;;
V;322208;;;Norm tbh AN Eldon;74,50;;;;
V;322210;;;Mätarskåp & tavlor Eldon;72,50;;;;
V;322220;;;Normel AJ Eldon;57,88;;;;
V;322222;;;Normel AM Eldon;60,19;;;;
V;322224;;;Normel AG Eldon;62,24;;;;
V;322230;;;Normkapsling ENVQ AJ Eldon;60,73;;;;
V;322232;;;Normel AN Eldon;65,48;;;;
V;322300;;;Normkapsling SR =S=O;83,55;;;;
V;322301;;;Normkapsling PrismaSeT SC =S=;67,00;;;;
V;322304;;;Skensystem CMD/AK5 MD =S=O;73,32;;;;
V;322306;;;Tbh normkapsling II SR =S=O;81,40;;;;
V;322307;;;Tbh normkapsling II MB =S=O;81,00;;;;
V;322308;;;MG + Övriga fasskenor/plint SQ =S=;35,48;;;;
V;322310;;;Normkapsling Resi9 RC =S=;64,79;;;;
V;322404;;;Normkapsling ABB I;61,39;;;;
V;322406;;;Normkapsling ABB II;59,16;;;;
V;322408;;;Normkapsling ABB III;61,01;;;;
V;322600;;;Centralsystem IP20 Garo;71,00;;;;
V;322602;;;Mätarblock & -tavlor Garo;71,71;;;;
V;322603;;;Mätarskåp Garo X;71,59;;;;
V;322604;;;Mätarskåp Garo;71,14;;;;
V;322611;;;Kapsling norm plast utanpål. Garo;71,00;;;;
V;322612;;;Kapsling norm plåt utanpål. Garo;70,20;;;;
V;322613;;;Kapsling norm plåt infälld. Garo;70,00;;;;
V;322614;;;Media och Kombicentraler Garo;67,94;;;;
V;322615;;;Tbh normkapslingar Garo;70,40;;;;
V;322620;;;Tillfällig El Tbh Elflex Garo;59,76;;;;
V;322700;;;Elfördeln Alpha DIN + Alpha AS 039 SIE;72,26;;;;
V;322702;;;Normcentraler Simbox 032 SIE;73,47;;;;
V;322704;;;Säkringslastbrytare m.Tbh 143 Sie;85,59;;;;
V;322904;;;Media Och Kombicentraler Ensto;59,39;;;;
V;322906;;;Normkapsling medTbh Rittal;66,96;;;;
V;322908;;;Skensystem Rittal;70,07;;;;
V;322909;;;RilineX Rittal;44,09;;;;
V;322990;;;Solar Plus Mätarplatser;50,00;;;;
V;322991;;;Solar Plus Centraler;50,00;;;;
V;322994;;;Solar Netto;50,00;;;;
V;322995;;;Solar Plus;50,00;;;;
V;323100;;;HPK Eldon;64,85;;;;
V;323104;;;Unik-T Eldon I;45,12;;;;
V;323110;;;Tbh Eldon I;58,33;;;;
V;323114;;;Tbh Eldon II;48,78;;;;
V;323200;;;Centralsystem Garo;64,20;;;;
V;323300;;;Kabelskåp Kabeldon;59,12;;;;
V;323994;;;Solar Netto;50,00;;;;
V;324100;;;MVC GARO;59,19;;;;
V;324104;;;MVC I GARO;58,24;;;;
V;324108;;;MVC II GARO;54,97;;;;
V;324110;;;MVC III Garo;53,81;;;;
V;324112;;;Motorvärmare Entity Heat Garo;56,12;;;;
V;324120;;;UTTAGSLÅDOR GARO;56,80;;;;
V;324122;;;Laddstolpar Garo;61,50;;;;
V;324124;;;IEC/CEE-don Garo;56,00;;;;
V;324130;;;Tillfällig El  Elflex Garo;59,28;;;;
V;324206;;;Laddstationer ABB;61,50;;;;
V;324210;;;Ansl.don IEC o byggplatsc. Amphenol I;62,49;;;;
V;324212;;;Ansl.don IEC o byggplatsc. Amphenol II;61,60;;;;
V;324216;;;Tbh anslutningsdon Amphenol;58,48;;;;
V;324220;;;Spisdon ABB;66,00;;;;
V;324224;;;Blockerade uttag Amphenol;55,93;;;;
V;324228;;;Modulkombi o reservkraft Amphenol;48,26;;;;
V;324300;;;Byggcentraler Elbjörn;47,19;;;;
V;324324;;;CEE-DON Quick BALS;72,26;;;;
V;324400;;;Sladdställ Skarvsladdar Axjo;59,47;;;;
V;324500;;;Åskskyddssystem vario OBO;64,00;;;;
V;324508;;;Industri- och specialkontaktsystem OBO;64,77;;;;
V;324550;;;Uttag Pelare Niko;37,69;;;;
V;324602;;;Sladdställ Skarvsladdar;75,21;;;;
V;324620;;;Kabelvindor HB =S=;48,19;;;;
V;324700;;;CEE-DON BALS;75,53;;;;
V;324708;;;CEE-DON BALS SPEC.;86,39;;;;
V;324750;;;Stolpar och fästen CDVI;34,74;;;;
V;324850;;;Laddstationer Eldon;67,00;;;;
V;324890;;;Laddstationer Sellpower;59,44;;;;
V;324900;;;Perilex HD =S=;64,81;;;;
V;324902;;;MVC EL-BE;41,62;;;;
V;324904;;;Div MVC Materiel;40,40;;;;
V;324910;;;MVC materiel Fibox;49,72;;;;
V;324912;;;Kabelvindor IRC;59,35;;;;
V;324914;;;LKB  Björkman;61,46;;;;
V;324916;;;Spisdon Norwesco;62,22;;;;
V;324940;;;Stickpropp CEE Norwesco;44,16;;;;
V;324942;;;Skarvuttag CEE Norwesco;44,16;;;;
V;324944;;;Vägguttag CEE Norwesco;44,16;;;;
V;324950;;;Laddstationer  Ensto;60,00;;;;
V;324990;;;Solar Plus Kraftuttag CEE;50,00;;;;
V;324994;;;Solar Netto;50,00;;;;
V;324995;;;Solar Plus Sladdställ;50,00;;;;
V;325102;;;Väggskåp AE RF Rittal;57,16;;;;
V;325104;;;Kapsling AX Rittal;46,23;;;;
V;325106;;;Tbh Kapsling AX Rittal;45,79;;;;
V;325108;;;Kapsling AX Rf Rittal;41,63;;;;
V;325112;;;VäggskåpTbh Rittal;56,03;;;;
V;325122;;;Golvskåp VX Rittal;57,12;;;;
V;325124;;;Kapsling EB Rittal;48,80;;;;
V;325126;;;Kapsling KL Rittal;55,35;;;;
V;325128;;;Kapsling KX Rittal;46,65;;;;
V;325129;;;Tbh Kapsling KX Rittal;36,71;;;;
V;325130;;;Klimatisering Rittal;56,57;;;;
V;325132;;;Tbh golvskåp Rittal;56,37;;;;
V;325140;;;Dataskåp Rittal;57,43;;;;
V;325200;;;Väggskåp CRN PE =S=O;69,38;;;;
V;325202;;;Väggskåp Rostfritt PD =S=O;70,37;;;;
V;325204;;;Väggskåp S3D I PF =S=O;63,94;;;;
V;325206;;;Väggskåp S3D II PF =S=O;65,60;;;;
V;325208;;;Väggskåp Thalassa PG =S=O;66,94;;;;
V;325220;;;Golvskåp SF I PA =S=O;67,02;;;;
V;325224;;;Golvskåp SM I PA =S=O;68,52;;;;
V;325226;;;Golvskåp SM II PA =S=O;67,47;;;;
V;325232;;;Kopplingslåda plåt SBM PA =S=O;64,68;;;;
V;325234;;;Kopplingslåda TBP/TBS/Mureva PG =S=O;67,41;;;;
V;325236;;;Pulpet SD PA =S=O;62,53;;;;
V;325240;;;Flänsar S3D PB =S=O;62,53;;;;
V;325242;;;Tbh Golvskåp SF/SM PA =S=O;70,17;;;;
V;325244;;;Montagetillbehör PB =S=O;68,86;;;;
V;325246;;;Tbh väggskåp S3D PF =S=O;68,48;;;;
V;325248;;;Tbh kopplingslåda plåt SBM PB =S=O;64,68;;;;
V;325250;;;Klimatisering PC =S=O;72,53;;;;
V;325252;;;Actassi Dataskåp 3C =S=;25,79;;;;
V;325254;;;Actassi DataskåpTbh 3B =S=;23,72;;;;
V;325300;;;Plastkapsling CAB Fibox;57,53;;;;
V;325304;;;Plastkapsling EK Fibox;61,32;;;;
V;325306;;;Plastkapsling EURO P Fibox;62,89;;;;
V;325308;;;Plastkapsling EURO PC Fibox;64,44;;;;
V;325310;;;Plastkapsling MNX Fibox;63,76;;;;
V;325312;;;Plastkapsling PICCOLO Fibox;61,65;;;;
V;325314;;;Plastkapsling QUICK Fibox;57,94;;;;
V;325316;;;Plastkapsling SOLID Fibox;63,32;;;;
V;325320;;;Apparatskåp ARCA Fibox;64,85;;;;
V;325322;;;Apparatskåp ARCATbh Fibox;66,82;;;;
V;325326;;;Metallkapsling ALU Fibox;64,61;;;;
V;325340;;;Tbh kapsling Fibox I;62,20;;;;
V;325342;;;Tbh kapsling Fibox II;62,88;;;;
V;325344;;;Tbh kapsling CAB (RF) Fibox;56,70;;;;
V;325346;;;Flänsmateriel Fibox;63,74;;;;
V;325400;;;Kapsling Cubo C Ensto;62,04;;;;
V;325402;;;Kapsling CUBO D ABS Ensto;61,91;;;;
V;325404;;;Kapsling CUBO D PC Ensto;60,94;;;;
V;325408;;;Kapsling CUBO H AL Ensto;58,96;;;;
V;325410;;;Kapsling CUBO M Ensto;54,22;;;;
V;325412;;;Kapsling CUBO O ABS Ensto;63,67;;;;
V;325414;;;Kapsling CUBO O PC Ensto;64,43;;;;
V;325418;;;Kapsling CUBO S ABS Ensto;56,21;;;;
V;325420;;;Kapsling CUBO S PC Ensto;70,87;;;;
V;325422;;;Kapsling CUBOTbh Ensto;71,13;;;;
V;325430;;;Kapsling Special Ensto;66,40;;;;
V;325432;;;Kopplingslåda CUBO T Ensto;56,00;;;;
V;325434;;;Kopplingslåda CUBO W Ensto;45,57;;;;
V;325454;;;Mediacentral &Tbh Ensto;60,18;;;;
V;325460;;;DIN-skena CUBO Ensto;63,39;;;;
V;325462;;;Flänsmateriel Ensto;70,36;;;;
V;325466;;;Montageplåt CUBO Ensto;50,51;;;;
V;325499;;;Blått Stego;35,48;;;;
V;325506;;;Väggskåp MAD Hoffman;66,39;;;;
V;325508;;;Väggskåp MAP Hoffman;48,86;;;;
V;325510;;;Väggskåp MAS Hoffman;66,94;;;;
V;325512;;;Golvskåp MCD Hoffman;50,00;;;;
V;325514;;;Golvskåp MCS Hoffman;51,03;;;;
V;325516;;;Golvskåp MKD Hoffman;58,77;;;;
V;325518;;;Golvskåp MKS Hoffman;48,86;;;;
V;325520;;;GolvskåpTbh Hoffman;59,49;;;;
V;325522;;;Väggskåp tbh Hoffman;60,71;;;;
V;325524;;;Flänsmateriel Hoffman;54,22;;;;
V;325526;;;Golvskåp tbh Hoffman;65,83;;;;
V;325530;;;Dataskåp Hoffman;56,96;;;;
V;325550;;;Dataskåp Electro-Enoc;65,39;;;;
V;325600;;;Xracks EFB;31,58;;;;
V;325650;;;Rack 19" Cabinet system;50,00;;;;
V;325700;;;BRYTARE HAGER;58,77;;;;
V;325800;;;Uttagsram 4 Murr;55,20;;;;
V;325820;;;Väggkapsling II Hoffman;39,02;;;;
V;325840;;;Golvskåp II Hoffman;39,02;;;;
V;325850;;;Anslutningslådor Hoffman;39,02;;;;
V;325860;;;Generella tbh Hoffman;41,47;;;;
V;325870;;;Manöverpanel Hoffman;35,29;;;;
V;325890;;;Plastkapsling II Hoffman;37,14;;;;
V;325894;;;Rostfritt II Hoffman;41,78;;;;
V;325970;;;Apparatskåp Eaton 2500;23,19;;;;
V;325994;;;Solar Netto;50,00;;;;
V;325995;;;Solar Plus;50,00;;;;
V;326100;;;Kabelflänsar Elektro Linden I;63,99;;;;
V;326102;;;Kabelflänsar Elektro Linden II;66,62;;;;
V;326108;;;Tbh kabelfänsar Elektro Linden;64,15;;;;
V;326110;;;Multiflänsar Trelleborg;66,13;;;;
V;326204;;;Isolator MERICON;58,87;;;;
V;326206;;;Isolerad distans MERICON;59,35;;;;
V;326210;;;Jordfläta Mericon I;65,07;;;;
V;326214;;;Jordskena medTbh Mericon;59,48;;;;
V;326218;;;Kopparskena solid MERICON;62,30;;;;
V;326220;;;Metalldistans MERICON;65,07;;;;
V;326222;;;Spiralslang Spirflex MERICON;63,94;;;;
V;326224;;;Tbh jordfl & isol strömskena Mericon I;64,95;;;;
V;326226;;;Tbh jordfl & isol strömskena Mericon II;50,51;;;;
V;326228;;;Övergång/distributionsblock MERICON;65,20;;;;
V;326300;;;Profilskenor MP;73,58;;;;
V;326400;;;Membranflänsar S3D PB =S=O;64,11;;;;
V;326500;;;Anslut. & Avgreningsplint;69,50;;;;
V;326600;;;Monteringsskenor Hoffman;74,05;;;;
V;326700;;;Anslut. & Avgreningsplint Ensto;72,41;;;;
V;326800;;;Flänsmaterial Garo;63,69;;;;
V;326830;;;Flänsmaterial Rutab;75,68;;;;
V;326970;;;Avgreningsplintar Eaton 2500;15,61;;;;
V;326994;;;Solar Netto;50,00;;;;
V;326995;;;Solar Plus;50,00;;;;
V;327100;;;Brandkårsbrytare sol Elrond;71,00;;;;
V;327110;;;Tillbehör E-mobility Melbye;45,18;;;;
V;327150;;;Laddstationer  Hager;50,25;;;;
V;327201;;;E-mobility tillbehör Next Green II;54,08;;;;
V;327300;;;Laddstation AC Rolec;41,12;;;;
V;327302;;;Laddstation DC Rolec;41,12;;;;
V;327304;;;Tillbehör laddstationer Rolec;45,89;;;;
V;327500;;;Stock Laddstationer C-TEK;62,41;;;;
V;327501;;;Laddstation Njord Go CTEK;69,28;;;;
V;327502;;;Laddstation CTEK II;64,00;;;;
V;327510;;;Laddstolpar Hager;41,50;;;;
V;327520;;;Entity Pro Garo E-mobility;43,69;;;;
V;327521;;;Entity Home Garo E-mobility;41,47;;;;
V;327525;;;Entity Flex Garo Elflex;36,22;;;;
V;327526;;;Enegic Perific;41,12;;;;
V;327527;;;E-mobility tillbehör II Perific;41,12;;;;
V;327528;;;E-mobility tillbehör III Perific;41,33;;;;
V;327530;;;Laddstationer Charge Amps;44,32;;;;
V;327532;;;Tillbehör Charge amps;36,39;;;;
V;327540;;;Laddstationer AC II 8D =S=;69,00;;;;
V;327541;;;Tillbehör eMobility 8A =S=;34,01;;;;
V;327542;;;Laddstationer DC 8A =S=;45,18;;;;
V;327543;;;Laddstationer AC I 8B =S=;51,98;;;;
V;327551;;;Tillbehör Eldon;39,09;;;;
V;327552;;;Laddstation One & Duo Eldon;67,20;;;;
V;327553;;;Laddstation eHome Eldon;64,29;;;;
V;327555;;;Hemma Easee;37,24;;;;
V;327557;;;Tillbehör Easee;38,73;;;;
V;327590;;;Tillbehör Solplanet;45,00;;;;
V;327593;;;Batteri Solplanet;45,00;;;;
V;327595;;;Växelriktare Solplanet;50,50;;;;
V;327605;;;Solceller Longi;54,92;;;;
V;327620;;;Solceller Astroenergy;84,77;;;;
V;327650;;;Växelriktare Huawei;44,00;;;;
V;327655;;;Tillbehör Huawei;44,00;;;;
V;327660;;;Montagematerial Solceller Novotegra;45,50;;;;
V;327665;;;Solentra I TJB;45,92;;;;
V;327666;;;Solentra II TJB;54,08;;;;
V;327700;;;Batterilager Sell Power;49,24;;;;
V;327800;;;Växelriktare & Batterier EcoFlow;39,09;;;;
V;327802;;;Tillbehör EcoFlow;38,07;;;;
V;327804;;;Laddstationer EcoFlow;39,59;;;;
V;327806;;;Värmepumpar EcoFlow;35,03;;;;
V;327993;;;Solar Plus Lastbalansering;50,00;;;;
V;327994;;;Solar Netto;50,00;;;;
V;327995;;;Solar Plus;50,00;;;;
V;328100;;;Skensystem Canalis KB/KN YA =S=O;41,26;;;;
V;328101;;;Skensystem Canalis KB/KN YB =S=O;41,26;;;;
V;328104;;;Skensystem Canalis KS/KT/KR YB =S=O;47,29;;;;
V;328108;;;Modular CEE Canalis HA =S=O;60,56;;;;
V;328109;;;Kanelskenor tillbehör SC =S=O;60,56;;;;
V;328200;;;Skensystem BD01 I Scanelec;47,11;;;;
V;328202;;;Skensystem BD01 II Scanelec;36,71;;;;
V;328204;;;Skensystem BD2 I Scanelec;46,34;;;;
V;328994;;;Solar Netto;50,00;;;;
V;329100;;;Plint W-serien P110 Weidm I;67,89;;;;
V;329102;;;Plint W-serien P110 Weidm II;63,54;;;;
V;329104;;;Plint W-serien P110Weidm III;61,45;;;;
V;329105;;;Plint W-serien P110 Weidm IV;76,12;;;;
V;329106;;;Tbh plint W-serien P171 Weidm I;61,89;;;;
V;329108;;;Tbh plint W-serien P171 Weidm II;60,29;;;;
V;329110;;;Tillbehör plint A-serie P173 Weidm;62,18;;;;
V;329112;;;Plint A-serie I P130 Weidm;69,05;;;;
V;329114;;;Plint A-serie II P131 Weidm;61,10;;;;
V;329120;;;Tbh plint övriga P179 Weidm;39,65;;;;
V;329122;;;W-serien Insta P111 Weidm;62,22;;;;
V;329124;;;Plint Z-serienTbh P172 Weidm;64,12;;;;
V;329128;;;Tbh SAK plint P170 Weidm;59,18;;;;
V;329132;;;Plint Z-serien P120 Weidm III;59,32;;;;
V;329140;;;Plint P-serien P126 Weidm;59,48;;;;
V;329142;;;Plint Z-serien P120 Weidm I;66,95;;;;
V;329144;;;Plint Z-serien P120 Weidm II;64,69;;;;
V;329146;;;Tbh plint övriga P179 Weidm II;62,24;;;;
V;329148;;;Plint SAK-serien P100 Weidm;53,49;;;;
V;329150;;;Apparatplintar P142 Weidm;58,13;;;;
V;329152;;;Plint övriga till TS 15 P141 Weidm;55,94;;;;
V;329156;;;Plint övriga P140 Weidm;61,47;;;;
V;329160;;;Montagehjälpmedel D900 Weidm;47,00;;;;
V;329162;;;Elektronikkapslingar tomma P420 Weidm;53,16;;;;
V;329164;;;Märkband D900 Weidm;45,57;;;;
V;329166;;;Märkning övrig (Dekafix) P177 Weidm II;58,07;;;;
V;329174;;;Etikett P176 Weidm;49,83;;;;
V;329178;;;Överkoppling riderserien E533 Weidm;52,37;;;;
V;329179;;;Övervakning E553 Weidm;50,90;;;;
V;329182;;;Märkning CableLine I P178 Weidm;55,91;;;;
V;329184;;;Märkning övrig (Dekafix) P177 Weidm I;56,71;;;;
V;329186;;;Märkning Multicard P175 Weidm;56,99;;;;
V;329188;;;Industridon RockStar P201 Weidm;52,21;;;;
V;329190;;;Industridon P200 Weidm;43,15;;;;
V;329200;;;Plint 1492-J II B549H A-B;65,03;;;;
V;329202;;;Plint 1492-J I B549H A-B;71,21;;;;
V;329210;;;Plint snabbansl 1492-L B5210 A-B II;66,94;;;;
V;329220;;;Tbh plint 1492-W B5207 A-B I;75,67;;;;
V;329222;;;Tbh plint 1492-W B5207 A-B II;66,94;;;;
V;329224;;;Anslutningsblock 1492 B5187 A-B;58,46;;;;
